,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-15000000.0,-81000000.0,-81000000.0,-81000000.0
Change To Liabilities,-23000000.0,106000000.0,145300000.0,18000000.0
Total Cashflows From Investing Activities,-292000000.0,-363000000.0,-165300000.0,-624400000.0
Net Borrowings,-98000000.0,98000000.0,511200000.0,584900000.0
Total Cash From Financing Activities,-493000000.0,-296000000.0,-44100000.0,390400000.0
Change To Operating Activities,-30000000.0,-34000000.0,11000000.0,-3400000.0
Net Income,-870000000.0,361000000.0,28700000.0,-20800000.0
Change In Cash,-114000000.0,111000000.0,238400000.0,-11700000.0
Repurchase Of Stock,-3000000.0,-1000000.0,-4800000.0,-4800000.0
Total Cash From Operating Activities,671000000.0,770000000.0,447500000.0,222500000.0
Depreciation,279000000.0,272000000.0,179000000.0,125200000.0
Dividends Paid,-392000000.0,-393000000.0,-313800000.0,-194500000.0
Change To Account Receivables,50000000.0,-11000000.0,-4700000.0,-4700000.0
Change To Netincome,1137000000.0,1137000000.0,55600000.0,69300000.0
Capital Expenditures,-290000000.0,-278000000.0,-291700000.0,-197400000.0
Other Cashflows From Investing Activities,,-8000000.0,300200000.0,-317500000.0
Effect Of Exchange Rate,,,300000.0,-200000.0
Other Cashflows From Financing Activities,,,-236700000.0,-236700000.0
