,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Change To Liabilities,-10156000.0,19177000.0,353000.0,6722000.0
Total Cashflows From Investing Activities,-361172000.0,138380000.0,-89580000.0,-82506000.0
Net Borrowings,224912000.0,183622000.0,31128000.0,57010000.0
Total Cash From Financing Activities,241268000.0,-101407000.0,26358000.0,15550000.0
Net Income,66951000.0,478433000.0,12179000.0,16931000.0
Change In Cash,-73530000.0,133859000.0,49027000.0,18906000.0
Repurchase Of Stock,-257548000.0,-257548000.0,-257548000.0,-257548000.0
Effect Of Exchange Rate,-2000.0,512000.0,-115000.0,-75000.0
Total Cash From Operating Activities,46376000.0,96374000.0,112364000.0,85937000.0
Depreciation,40860000.0,68476000.0,81830000.0,77106000.0
Other Cashflows From Investing Activities,4268000.0,6325000.0,1261000.0,1069000.0
Change To Account Receivables,-6994000.0,2707000.0,-561000.0,-14087000.0
Other Cashflows From Financing Activities,273904000.0,-285029000.0,-254061000.0,-30506000.0
Change To Netincome,-57901000.0,-464018000.0,21260000.0,4518000.0
Capital Expenditures,-365440000.0,-322907000.0,-90841000.0,-83575000.0
Issuance Of Stock,,,259933000.0,259933000.0
Dividends Paid,,,-10642000.0,-10954000.0
