,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,1042700000.0,272700000.0,795100000.0,108500000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,81800000.0,-416700000.0,-4271100000.0,-1024900000.0
Net Borrowings,1586800000.0,881600000.0,1824400000.0,951300000.0
Total Cash From Financing Activities,116500000.0,-1345900000.0,2252000000.0,-293400000.0
Change To Operating Activities,1100000.0,-118000000.0,-104000000.0,500000.0
Issuance Of Stock,2800000.0,7500000.0,2002400000.0,77900000.0
Net Income,-7212600000.0,1103300000.0,1031100000.0,2439500000.0
Change In Cash,1641800000.0,117300000.0,-197000000.0,169700000.0
Repurchase Of Stock,-800000.0,-800000.0,-800000.0,-7300000.0
Effect Of Exchange Rate,20400000.0,-7200000.0,28100000.0,1500000.0
Total Cash From Operating Activities,1423100000.0,1887100000.0,1794000000.0,1486500000.0
Depreciation,126900000.0,162800000.0,77200000.0,27800000.0
Dividends Paid,-795500000.0,-1542000000.0,-1092500000.0,-1018300000.0
Other Cashflows From Financing Activities,-676800000.0,-693000000.0,-482300000.0,-297000000.0
Change To Netincome,8507700000.0,739000000.0,789700000.0,-981300000.0
Other Cashflows From Investing Activities,,-85700000.0,-50100000.0,-50100000.0
