,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-177400000.0,233900000.0,110200000.0,-684200000.0
Net Borrowings,26300000.0,-318600000.0,-110500000.0,438900000.0
Total Cash From Financing Activities,-564400000.0,-1030300000.0,-511900000.0,383700000.0
Change To Operating Activities,-6400000.0,-23700000.0,-16000000.0,-59600000.0
Net Income,1583600000.0,960900000.0,675100000.0,400100000.0
Change In Cash,-10600000.0,-54600000.0,16300000.0,78700000.0
Total Cash From Operating Activities,731200000.0,741800000.0,418000000.0,379200000.0
Depreciation,3000000.0,3300000.0,3300000.0,700000.0
Other Cashflows From Investing Activities,-9900000.0,-83400000.0,7700000.0,7700000.0
Dividends Paid,-696700000.0,-684900000.0,-294600000.0,-340100000.0
Change To Account Receivables,17500000.0,28800000.0,3800000.0,65600000.0
Other Cashflows From Financing Activities,113600000.0,-14600000.0,-106800000.0,-10100000.0
Change To Netincome,-900500000.0,-266000000.0,-290400000.0,-68900000.0
Capital Expenditures,-6600000.0,-3400000.0,-7700000.0,-600000.0
Investments,,3500000.0,38000000.0,38000000.0
