,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-16676000.0,-16676000.0,-16676000.0,-16676000.0
Change To Liabilities,-104000.0,8295000.0,6872413.0,897404.0
Total Cashflows From Investing Activities,-522297000.0,-374060000.0,-176900200.0,-117608492.0
Net Borrowings,470859000.0,297500000.0,128640000.0,129100000.0
Total Cash From Financing Activities,527849000.0,351421000.0,168918516.0,137311980.0
Change To Operating Activities,1152000.0,526000.0,274174.0,291215.0
Issuance Of Stock,62051000.0,57802000.0,41031000.0,10874231.0
Net Income,-19941000.0,-11133000.0,-22549726.0,-20190588.0
Change In Cash,20101000.0,-47000.0,-6556127.0,12124783.0
Effect Of Exchange Rate,-79000.0,-79000.0,-79000.0,-79000.0
Total Cash From Operating Activities,14628000.0,22592000.0,1425557.0,-7578705.0
Depreciation,4699000.0,1095000.0,890755.0,288786.0
Other Cashflows From Investing Activities,-488811000.0,-370177000.0,-170856326.0,-112458248.0
Change To Account Receivables,-6261000.0,-4813000.0,-4973098.0,-255571.0
Other Cashflows From Financing Activities,-5061000.0,-3881000.0,-752484.0,-2662251.0
Change To Netincome,28644000.0,25162000.0,16765597.0,8522005.0
Capital Expenditures,-2436000.0,-275000.0,-3502080.0,-622495.0
