,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,258241000.0,421529000.0,293384000.0,257264000.0
Minority Interest,622000.0,1158000.0,717000.0,419000.0
Net Income,239931000.0,405932000.0,278709000.0,245029000.0
Selling General Administrative,14759000.0,14312000.0,14533000.0,14483000.0
Gross Profit,264307000.0,441353000.0,308501000.0,277651000.0
Ebit,249548000.0,427041000.0,293968000.0,263168000.0
Operating Income,249548000.0,427041000.0,293968000.0,263168000.0
Other Operating Expenses,,,,
Interest Expense,-1047000.0,-826000.0,-848000.0,-8969000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,17846000.0,15156000.0,14377000.0,11964000.0
Total Revenue,264307000.0,441353000.0,308501000.0,277651000.0
Total Operating Expenses,14759000.0,14312000.0,14533000.0,14483000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,8693000.0,-5512000.0,-584000.0,-5904000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,240395000.0,406373000.0,279007000.0,245300000.0
Net Income Applicable To Common Shares,239931000.0,405932000.0,278709000.0,245029000.0
