,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Research Development,497900000.0,500400000.0,413600000.0,268400000.0
Effect Of Accounting Charges,,,,
Income Before Tax,359600000.0,973500000.0,763100000.0,728100000.0
Minority Interest,-7100000.0,-7100000.0,-7100000.0,-7100000.0
Net Income,1377700000.0,698800000.0,542600000.0,495100000.0
Selling General Administrative,930800000.0,828700000.0,642500000.0,437000000.0
Gross Profit,1956400000.0,2426600000.0,1972300000.0,1486200000.0
Ebit,527700000.0,1097500000.0,916200000.0,780800000.0
Operating Income,527700000.0,1097500000.0,916200000.0,780800000.0
Other Operating Expenses,,,,
Interest Expense,-151200000.0,-135100000.0,-115300000.0,-62700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-1018100000.0,274700000.0,220500000.0,233000000.0
Total Revenue,4139100000.0,4397400000.0,3509500000.0,2453800000.0
Total Operating Expenses,3611400000.0,3299900000.0,2593300000.0,1673000000.0
Cost Of Revenue,2182700000.0,1970800000.0,1537200000.0,967600000.0
Total Other Income Expense Net,-168100000.0,-124000000.0,-153100000.0,-52700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1377700000.0,698800000.0,542600000.0,495100000.0
Net Income Applicable To Common Shares,1377700000.0,698800000.0,542600000.0,495100000.0
