,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,248500000.0,151100000.0,230300000.0,115400000.0
Minority Interest,10800000.0,10500000.0,9800000.0,11900000.0
Net Income,172600000.0,127800000.0,152600000.0,51800000.0
Selling General Administrative,98600000.0,91000000.0,118600000.0,109500000.0
Gross Profit,517500000.0,519400000.0,470218920.0,397200000.0
Ebit,286300000.0,295100000.0,276818920.0,217100000.0
Operating Income,286300000.0,295100000.0,276818920.0,217100000.0
Other Operating Expenses,,,,
Interest Expense,-42200000.0,-43500000.0,-33800000.0,-25800000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,74400000.0,73100000.0,62400000.0,48000000.0
Total Revenue,1761400000.0,1853900000.0,1664800000.0,1446900000.0
Total Operating Expenses,1475100000.0,1558800000.0,1387981080.0,1229800000.0
Cost Of Revenue,1243900000.0,1334500000.0,1194581080.0,1049700000.0
Total Other Income Expense Net,-37800000.0,-144000000.0,-46518920.0,-101700000.0
Discontinued Operations,,51500000.0,-14300000.0,-14000000.0
Net Income From Continuing Ops,174100000.0,78000000.0,167900000.0,67400000.0
Net Income Applicable To Common Shares,172600000.0,127800000.0,152600000.0,51800000.0
