,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,502834000.0,232882000.0,85087000.0,-50556000.0
Minority Interest,,,,
Net Income,519583000.0,225109000.0,85082000.0,-50561000.0
Selling General Administrative,,102493000.0,29337000.0,82921000.0
Gross Profit,368658000.0,-60815000.0,2212000.0,2123000.0
Ebit,368658000.0,-164467000.0,-28230000.0,-81732000.0
Operating Income,368658000.0,-164467000.0,-28230000.0,-81732000.0
Other Operating Expenses,,1159000.0,1105000.0,934000.0
Interest Expense,-53795000.0,-53795000.0,-53795000.0,-53795000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-16749000.0,7773000.0,5000.0,5000.0
Total Revenue,473001000.0,3274000.0,2212000.0,2123000.0
Total Operating Expenses,104343000.0,167741000.0,30442000.0,83855000.0
Cost Of Revenue,104343000.0,64089000.0,0.0,0.0
Total Other Income Expense Net,134176000.0,397349000.0,113317000.0,31176000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,519583000.0,225109000.0,85082000.0,-50561000.0
Net Income Applicable To Common Shares,519583000.0,225109000.0,85082000.0,-50561000.0
