,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,202300000.0,143700000.0,145300000.0,155100000.0
Minority Interest,11900000.0,12000000.0,15600000.0,17800000.0
Net Income,158700000.0,111700000.0,484300000.0,147700000.0
Selling General Administrative,413000000.0,381200000.0,389600000.0,363400000.0
Gross Profit,632700000.0,584000000.0,582700000.0,541200000.0
Ebit,219700000.0,202800000.0,193100000.0,177800000.0
Operating Income,219700000.0,202800000.0,193100000.0,177800000.0
Other Operating Expenses,,,,
Interest Expense,-19400000.0,-18900000.0,-20100000.0,-23300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,42200000.0,30600000.0,4700000.0,33900000.0
Total Revenue,1613700000.0,1499000000.0,1489800000.0,1374500000.0
Total Operating Expenses,1394000000.0,1296200000.0,1296700000.0,1196700000.0
Cost Of Revenue,981000000.0,915000000.0,907100000.0,833300000.0
Total Other Income Expense Net,-17400000.0,-59100000.0,-47800000.0,-22700000.0
Discontinued Operations,,,345600000.0,29000000.0
Net Income From Continuing Ops,160100000.0,113100000.0,140600000.0,121200000.0
Net Income Applicable To Common Shares,158700000.0,111700000.0,484300000.0,147700000.0
