,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5516000000.0,8920000000.0,9895000000.0,9233000000.0
Minority Interest,10000000.0,11000000.0,140000000.0,116000000.0
Net Income,3577000000.0,5953000000.0,6400000000.0,6406000000.0
Selling General Administrative,8233000000.0,7968000000.0,8135000000.0,8299074000.0
Gross Profit,14899000000.0,17991000000.0,19296000000.0,18200000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,5951000000.0,8997000000.0,10373000000.0,9295000000.0
Other Operating Expenses,605000000.0,906000000.0,650000000.0,591000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1840000000.0,2609000000.0,2784000000.0,2874000000.0
Total Revenue,14899000000.0,17991000000.0,19296000000.0,18200000000.0
Total Operating Expenses,8948000000.0,8994000000.0,8923000000.0,8905000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-435000000.0,-77000000.0,-478000000.0,-62000000.0
Discontinued Operations,-98000000.0,-343000000.0,-695000000.0,62000000.0
Net Income From Continuing Ops,3676000000.0,6311000000.0,7111000000.0,6359000000.0
Net Income Applicable To Common Shares,3577000000.0,5953000000.0,6400000000.0,6406000000.0
