,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,386334000.0,301995000.0,737128000.0,266022000.0
Minority Interest,53000.0,53000.0,52000.0,51000.0
Net Income,236846000.0,179622000.0,559929000.0,343705000.0
Selling General Administrative,197747000.0,180103000.0,176174000.0,168615000.0
Gross Profit,2119091000.0,1964770000.0,1498562000.0,1330422000.0
Ebit,904583000.0,813350000.0,655573000.0,592248000.0
Operating Income,904583000.0,813350000.0,655573000.0,592248000.0
Other Operating Expenses,446740000.0,450427000.0,458615000.0,413331000.0
Interest Expense,-508603000.0,-503658000.0,-352231000.0,-315298000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,149488000.0,122524000.0,177198000.0,-77684000.0
Total Revenue,2326420000.0,2094304000.0,1553615000.0,1395992000.0
Total Operating Expenses,1421837000.0,1280954000.0,898042000.0,803744000.0
Cost Of Revenue,207329000.0,129534000.0,55053000.0,65570000.0
Total Other Income Expense Net,-518249000.0,-511355000.0,81555000.0,-326226000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,236846000.0,179471000.0,559930000.0,343706000.0
Net Income Applicable To Common Shares,236846000.0,179622000.0,559929000.0,343705000.0
