,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,280106000.0,-63304000.0,128402000.0,135629000.0
Minority Interest,13860000.0,9423000.0,8002000.0,10761000.0
Net Income,147290000.0,-142380000.0,95877000.0,96027000.0
Selling General Administrative,706129000.0,480219000.0,332054000.0,331009000.0
Gross Profit,1530002000.0,1054830000.0,712637000.0,714347000.0
Ebit,273608000.0,186228000.0,160577000.0,143966000.0
Operating Income,273608000.0,186228000.0,160577000.0,143966000.0
Other Operating Expenses,384008000.0,293166000.0,173869000.0,222721000.0
Interest Expense,-75543000.0,-52078000.0,-28845000.0,-12773000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,88575000.0,17176000.0,30906000.0,37456000.0
Total Revenue,8750535000.0,5882040000.0,4112802000.0,4060859000.0
Total Operating Expenses,8476927000.0,5695812000.0,3952225000.0,3916893000.0
Cost Of Revenue,7220533000.0,4827210000.0,3400165000.0,3346512000.0
Total Other Income Expense Net,6498000.0,-249532000.0,-32175000.0,-8337000.0
Discontinued Operations,-35320000.0,-59113000.0,-59113000.0,-59113000.0
Net Income From Continuing Ops,191531000.0,-80480000.0,97496000.0,98173000.0
Net Income Applicable To Common Shares,147290000.0,-142380000.0,95877000.0,96027000.0
