,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,720800000.0,705100000.0,642100000.0,616400000.0
Minority Interest,,,,
Net Income,498600000.0,492000000.0,445100000.0,434100000.0
Selling General Administrative,202500000.0,186900000.0,171300000.0,155200000.0
Gross Profit,1058000000.0,1057200000.0,983600000.0,902800000.0
Ebit,803500000.0,822500000.0,767600000.0,705300000.0
Operating Income,803500000.0,822500000.0,767600000.0,705300000.0
Other Operating Expenses,,,,
Interest Expense,-67500000.0,-117400000.0,-102400000.0,-85200000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,222200000.0,213100000.0,197000000.0,182300000.0
Total Revenue,1095300000.0,1089400000.0,1013000000.0,932100000.0
Total Operating Expenses,291800000.0,266900000.0,245400000.0,226800000.0
Cost Of Revenue,37300000.0,32200000.0,29400000.0,29300000.0
Total Other Income Expense Net,-82700000.0,-117400000.0,-125500000.0,-88900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,498600000.0,492000000.0,445100000.0,434100000.0
Net Income Applicable To Common Shares,498600000.0,492000000.0,445100000.0,434100000.0
