,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,686200000.0,652400000.0,675300000.0,672700000.0
Minority Interest,,,,
Net Income,448000000.0,1467700000.0,692700000.0,182900000.0
Selling General Administrative,40000000.0,137100000.0,137700000.0,150000000.0
Gross Profit,1710800000.0,1699600000.0,1652000000.0,1759700000.0
Ebit,946900000.0,934800000.0,914900000.0,1002600000.0
Operating Income,946900000.0,934800000.0,914900000.0,1002600000.0
Other Operating Expenses,111700000.0,143400000.0,135100000.0,80400000.0
Interest Expense,-83500000.0,-95300000.0,-115500000.0,-116600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,209000000.0,198300000.0,121800000.0,227800000.0
Total Revenue,4863400000.0,4780300000.0,4630600000.0,5205900000.0
Total Operating Expenses,3916500000.0,3845500000.0,3715700000.0,4203300000.0
Cost Of Revenue,3152600000.0,3080700000.0,2978600000.0,3446200000.0
Total Other Income Expense Net,-260700000.0,-282400000.0,-239600000.0,-329900000.0
Discontinued Operations,-29200000.0,1013600000.0,139200000.0,-262000000.0
Net Income From Continuing Ops,477200000.0,454100000.0,553500000.0,444900000.0
Net Income Applicable To Common Shares,448000000.0,1467700000.0,692700000.0,182900000.0
