,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,172040000.0,181988000.0,237483000.0,161275000.0
Minority Interest,763000.0,5523000.0,6002000.0,5543000.0
Net Income,114668000.0,84011000.0,184556000.0,109479000.0
Selling General Administrative,131156000.0,139392000.0,124893000.0,130236000.0
Gross Profit,333195000.0,352256000.0,320976000.0,306733000.0
Ebit,165688000.0,181470000.0,180455000.0,166531000.0
Operating Income,165688000.0,181470000.0,180455000.0,166531000.0
Other Operating Expenses,,,,
Interest Expense,-14974000.0,-16697000.0,-10425000.0,-7517000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,50205000.0,49823000.0,53869000.0,48261000.0
Total Revenue,395585000.0,417494000.0,376863000.0,372114000.0
Total Operating Expenses,229897000.0,236024000.0,196408000.0,205583000.0
Cost Of Revenue,62390000.0,65238000.0,55887000.0,65381000.0
Total Other Income Expense Net,6352000.0,518000.0,57028000.0,-5256000.0
Discontinued Operations,-4882000.0,-47932000.0,4301000.0,4301000.0
Net Income From Continuing Ops,121835000.0,132165000.0,183614000.0,113014000.0
Net Income Applicable To Common Shares,114668000.0,84011000.0,184556000.0,109479000.0
