,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,22160000.0,100542000.0,92010000.0,78946000.0
Minority Interest,,,,
Net Income,15454000.0,70285000.0,64290000.0,55158000.0
Selling General Administrative,171588000.0,144818000.0,139066000.0,126544000.0
Gross Profit,222699000.0,252996000.0,238339000.0,213151000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,22560000.0,100542000.0,92010000.0,78946000.0
Other Operating Expenses,17646000.0,5284000.0,5155000.0,5309000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,6706000.0,30257000.0,27720000.0,23788000.0
Total Revenue,256250000.0,273767000.0,257683000.0,229523000.0
Total Operating Expenses,233690000.0,173225000.0,165673000.0,150577000.0
Cost Of Revenue,33551000.0,20771000.0,19344000.0,16372000.0
Total Other Income Expense Net,-400000.0,0.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,15454000.0,70285000.0,64290000.0,55158000.0
Net Income Applicable To Common Shares,15454000.0,70285000.0,64290000.0,55158000.0
