,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,25920000.0,24756000.0,20360000.0,17280000.0
Effect Of Accounting Charges,,,,
Income Before Tax,89021000.0,63302000.0,53192000.0,59483000.0
Minority Interest,40000.0,-128000.0,-119000.0,-92000.0
Net Income,63795000.0,45665000.0,41575000.0,43515000.0
Selling General Administrative,72979000.0,64989000.0,57271000.0,56846000.0
Gross Profit,196536000.0,153333000.0,131705000.0,136221000.0
Ebit,97637000.0,63567000.0,54083000.0,62117000.0
Operating Income,97637000.0,63567000.0,54083000.0,62117000.0
Other Operating Expenses,,21000.0,-9000.0,-22000.0
Interest Expense,-974000.0,-245000.0,-602000.0,-877000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,25058000.0,17646000.0,11644000.0,15970000.0
Total Revenue,348017000.0,270811000.0,229914000.0,226095000.0
Total Operating Expenses,250380000.0,207244000.0,175831000.0,163978000.0
Cost Of Revenue,151481000.0,117478000.0,98209000.0,89874000.0
Total Other Income Expense Net,-8616000.0,-265000.0,-891000.0,-2634000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,63963000.0,45656000.0,41548000.0,43513000.0
Net Income Applicable To Common Shares,63795000.0,45665000.0,41575000.0,43515000.0
