,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,171000000.0,239000000.0,153000000.0,180000000.0
Minority Interest,,,,
Net Income,125000000.0,345000000.0,132000000.0,151000000.0
Selling General Administrative,,,,
Gross Profit,451000000.0,505000000.0,449000000.0,465000000.0
Ebit,231000000.0,300000000.0,234000000.0,262000000.0
Operating Income,231000000.0,300000000.0,234000000.0,262000000.0
Other Operating Expenses,,,,
Interest Expense,-50000000.0,-69000000.0,-80000000.0,-95000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,46000000.0,69000000.0,41000000.0,51000000.0
Total Revenue,2073000000.0,2460000000.0,2152000000.0,1959000000.0
Total Operating Expenses,1842000000.0,2160000000.0,1918000000.0,1697000000.0
Cost Of Revenue,1622000000.0,1955000000.0,1703000000.0,1494000000.0
Total Other Income Expense Net,-60000000.0,-61000000.0,-81000000.0,-82000000.0
Discontinued Operations,,175000000.0,20000000.0,22000000.0
Net Income From Continuing Ops,125000000.0,170000000.0,112000000.0,129000000.0
Net Income Applicable To Common Shares,125000000.0,345000000.0,132000000.0,151000000.0
