,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,281159000.0,216954000.0,118242000.0,81109000.0
Minority Interest,,,,
Net Income,257561000.0,215240000.0,117885000.0,82116000.0
Selling General Administrative,21186000.0,18269000.0,14592000.0,13559000.0
Gross Profit,327887000.0,257604000.0,152677000.0,115600000.0
Ebit,293347000.0,223718000.0,122871000.0,88781000.0
Operating Income,293347000.0,223718000.0,122871000.0,88781000.0
Other Operating Expenses,4736000.0,4496000.0,4678000.0,3396000.0
Interest Expense,-1522000.0,-1742000.0,-1796000.0,-1303000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,23598000.0,1714000.0,357000.0,-1007000.0
Total Revenue,423829000.0,343563000.0,226508000.0,183495000.0
Total Operating Expenses,130482000.0,119845000.0,103637000.0,94714000.0
Cost Of Revenue,95942000.0,85959000.0,73831000.0,67895000.0
Total Other Income Expense Net,-12188000.0,-6764000.0,-4629000.0,-7672000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,257561000.0,215240000.0,117885000.0,82116000.0
Net Income Applicable To Common Shares,257561000.0,215240000.0,117885000.0,82116000.0
