,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,75337000.0,88828000.0,98895000.0,50817000.0
Minority Interest,,,,
Net Income,75337000.0,88828000.0,98895000.0,50817000.0
Selling General Administrative,,,,
Gross Profit,109484000.0,87246000.0,82394000.0,75291000.0
Ebit,79244000.0,62602000.0,62160000.0,59861000.0
Operating Income,79244000.0,62602000.0,62160000.0,59861000.0
Other Operating Expenses,30155000.0,24644000.0,20234000.0,15430000.0
Interest Expense,-21098000.0,-25077000.0,-17079000.0,-12811000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,0.0,0.0,0.0,0.0
Total Revenue,118233000.0,94058000.0,88627000.0,80862000.0
Total Operating Expenses,38989000.0,31456000.0,26467000.0,21001000.0
Cost Of Revenue,8749000.0,6812000.0,6233000.0,5571000.0
Total Other Income Expense Net,-3907000.0,26226000.0,36735000.0,-9044000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,75337000.0,88828000.0,98895000.0,50817000.0
Net Income Applicable To Common Shares,75337000.0,88828000.0,98895000.0,50817000.0
