,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,278700000.0,333100000.0,148700000.0,183443000.0
Minority Interest,1627700000.0,1505200000.0,1229700000.0,1197875000.0
Net Income,277500000.0,329600000.0,148800000.0,182471000.0
Selling General Administrative,92500000.0,85100000.0,39900000.0,24895000.0
Gross Profit,312100000.0,320700000.0,235200000.0,237479000.0
Ebit,212800000.0,226400000.0,192000000.0,211826000.0
Operating Income,212800000.0,226400000.0,192000000.0,211826000.0
Other Operating Expenses,,,,
Interest Expense,-58300000.0,-60400000.0,-63900000.0,-74050000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1500000.0,3500000.0,-100000.0,972000.0
Total Revenue,353000000.0,359500000.0,277500000.0,283887000.0
Total Operating Expenses,140200000.0,133100000.0,85500000.0,72061000.0
Cost Of Revenue,40900000.0,38800000.0,42300000.0,46408000.0
Total Other Income Expense Net,65900000.0,106700000.0,-43300000.0,-28383000.0
Discontinued Operations,300000.0,300000.0,300000.0,300000.0
Net Income From Continuing Ops,277200000.0,329600000.0,148800000.0,182471000.0
Net Income Applicable To Common Shares,277500000.0,329600000.0,148800000.0,182471000.0
