,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1305000000.0,1303200000.0,644000000.0,419100000.0
Minority Interest,,,,
Net Income,217400000.0,259500000.0,174700000.0,406600000.0
Selling General Administrative,98900000.0,91100000.0,86400000.0,71300000.0
Gross Profit,1067900000.0,1231400000.0,813400000.0,551400000.0
Ebit,969000000.0,1140300000.0,727000000.0,480100000.0
Operating Income,969000000.0,1140300000.0,727000000.0,480100000.0
Other Operating Expenses,,,,
Interest Expense,-103400000.0,-165200000.0,-187500000.0,-180700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,40800000.0,43400000.0,25300000.0,12500000.0
Total Revenue,1375500000.0,1498400000.0,1128400000.0,758100000.0
Total Operating Expenses,406500000.0,358100000.0,401400000.0,278000000.0
Cost Of Revenue,307600000.0,267000000.0,315000000.0,206700000.0
Total Other Income Expense Net,336000000.0,162900000.0,-83000000.0,-61000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1264200000.0,1259800000.0,618700000.0,406600000.0
Net Income Applicable To Common Shares,217400000.0,259500000.0,174700000.0,406600000.0
