,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-265000000.0,339000000.0,-333000000.0,162000000.0
Minority Interest,35000000.0,32000000.0,24000000.0,24000000.0
Net Income,-196000000.0,164000000.0,-190000000.0,94000000.0
Selling General Administrative,1660000000.0,1748000000.0,1691000000.0,1583000000.0
Gross Profit,1813000000.0,2283000000.0,1640000000.0,2080000000.0
Ebit,153000000.0,535000000.0,-51000000.0,497000000.0
Operating Income,153000000.0,535000000.0,-51000000.0,497000000.0
Other Operating Expenses,,,,
Interest Expense,-178000000.0,-154000000.0,-174000000.0,-146000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-81000000.0,80000000.0,-105000000.0,57000000.0
Total Revenue,7309000000.0,8308000000.0,8211000000.0,9399000000.0
Total Operating Expenses,7156000000.0,7773000000.0,8262000000.0,8902000000.0
Cost Of Revenue,5496000000.0,6025000000.0,6571000000.0,7319000000.0
Total Other Income Expense Net,-418000000.0,-196000000.0,-282000000.0,-335000000.0
Discontinued Operations,,-82000000.0,49000000.0,49000000.0
Net Income From Continuing Ops,-184000000.0,259000000.0,-228000000.0,105000000.0
Net Income Applicable To Common Shares,-196000000.0,164000000.0,-190000000.0,94000000.0
