,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,34300000.0,32800000.0,37900000.0,33300000.0
Effect Of Accounting Charges,,,,
Income Before Tax,412000000.0,288000000.0,300600000.0,174300000.0
Minority Interest,,,,
Net Income,262800000.0,241500000.0,228800000.0,146100000.0
Selling General Administrative,389600000.0,415800000.0,403600000.0,311300000.0
Gross Profit,1053700000.0,936500000.0,838700000.0,730900000.0
Ebit,629800000.0,487900000.0,397200000.0,386300000.0
Operating Income,629800000.0,487900000.0,397200000.0,386300000.0
Other Operating Expenses,,,,
Interest Expense,-48500000.0,-57500000.0,-54200000.0,-32900000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,149200000.0,46500000.0,71800000.0,28200000.0
Total Revenue,2908700000.0,2606800000.0,2506600000.0,2054500000.0
Total Operating Expenses,2278900000.0,2118900000.0,2109400000.0,1668200000.0
Cost Of Revenue,1855000000.0,1670300000.0,1667900000.0,1323600000.0
Total Other Income Expense Net,-217800000.0,-199900000.0,-96600000.0,-212000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,262800000.0,241500000.0,228800000.0,146100000.0
Net Income Applicable To Common Shares,262800000.0,241500000.0,228800000.0,146100000.0
