,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1007000000.0,862800000.0,768000000.0,998600000.0
Minority Interest,103100000.0,1700000.0,6100000.0,5000000.0
Net Income,758600000.0,698200000.0,618600000.0,822900000.0
Selling General Administrative,99300000.0,84900000.0,84300000.0,81300000.0
Gross Profit,1849600000.0,1707400000.0,1667600000.0,2175200000.0
Ebit,806000000.0,597800000.0,770800000.0,984400000.0
Operating Income,806000000.0,597800000.0,770800000.0,984400000.0
Other Operating Expenses,944300000.0,1024700000.0,812500000.0,1109500000.0
Interest Expense,-92600000.0,-110600000.0,-122600000.0,-132600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,248300000.0,164700000.0,149100000.0,175300000.0
Total Revenue,16659000000.0,15088500000.0,13280900000.0,13935900000.0
Total Operating Expenses,15853000000.0,14490700000.0,12510100000.0,12951500000.0
Cost Of Revenue,14809400000.0,13381100000.0,11613300000.0,11760700000.0
Total Other Income Expense Net,201000000.0,265000000.0,-2800000.0,14200000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,758700000.0,698100000.0,618900000.0,823300000.0
Net Income Applicable To Common Shares,758600000.0,698200000.0,618600000.0,822900000.0
