,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-101401000.0,413889000.0,191501000.0,123504000.0
Minority Interest,4606000.0,3223000.0,2038000.0,752000.0
Net Income,-115996000.0,316892000.0,142006000.0,84632000.0
Selling General Administrative,371460000.0,355742000.0,311011000.0,221591000.0
Gross Profit,624492000.0,705746000.0,618208000.0,429069000.0
Ebit,87502000.0,196825000.0,217533000.0,148924000.0
Operating Income,87502000.0,196825000.0,217533000.0,148924000.0
Other Operating Expenses,,,,
Interest Expense,-35270000.0,-37277000.0,-20974000.0,-11115000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,12497000.0,95749000.0,47929000.0,38336000.0
Total Revenue,1230401000.0,1403465000.0,1198416000.0,779976000.0
Total Operating Expenses,1142899000.0,1206640000.0,980883000.0,631052000.0
Cost Of Revenue,605909000.0,697719000.0,580208000.0,350907000.0
Total Other Income Expense Net,-188903000.0,217064000.0,-26032000.0,-25420000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-113898000.0,318140000.0,143572000.0,85168000.0
Net Income Applicable To Common Shares,-115996000.0,316892000.0,142006000.0,84632000.0
