,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,125900000.0,213500000.0,192300000.0,174400000.0
Minority Interest,,,,-1000000.0
Net Income,90100000.0,149800000.0,132400000.0,119600000.0
Selling General Administrative,200000.0,200000.0,200000.0,200000.0
Gross Profit,394500000.0,455800000.0,400000000.0,356200000.0
Ebit,140400000.0,223200000.0,198700000.0,179100000.0
Operating Income,140400000.0,223200000.0,198700000.0,179100000.0
Other Operating Expenses,253900000.0,232600000.0,201300000.0,177100000.0
Interest Expense,-9700000.0,-7700000.0,-6300000.0,-4800000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,35800000.0,63700000.0,58800000.0,54200000.0
Total Revenue,2518300000.0,2456600000.0,2262300000.0,2037400000.0
Total Operating Expenses,2377900000.0,2233400000.0,2063600000.0,1858300000.0
Cost Of Revenue,2123800000.0,2000800000.0,1862300000.0,1681200000.0
Total Other Income Expense Net,-14500000.0,-9700000.0,-6400000.0,-4700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,90100000.0,149800000.0,133500000.0,120200000.0
Net Income Applicable To Common Shares,90100000.0,149800000.0,132400000.0,119600000.0
