,2020-12-31,2019-12-31,2019-06-30,2018-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,154566675.0,182907820.0,71893216.0,-2270572.0
Minority Interest,146168140.0,294653627.0,143214479.0,1907540.0
Net Income,110610841.0,113008748.0,65525988.0,-3311526.0
Selling General Administrative,4068152.0,5786820.0,2641601.0,3787189.0
Gross Profit,201926892.0,199703482.0,24031802.0,3112529.0
Ebit,157668343.0,159030864.0,10990013.0,-1619986.0
Operating Income,157668343.0,159030864.0,10990013.0,-1619986.0
Other Operating Expenses,3403452.0,2047054.0,1122798.0,626213.0
Interest Expense,-5268152.0,-4672934.0,-35925.0,-315813.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,867835.0,346952.0,66788.0,656261.0
Total Revenue,523492413.0,472118320.0,64937347.0,13551415.0
Total Operating Expenses,365824070.0,313087456.0,53947334.0,15171401.0
Cost Of Revenue,321565521.0,272414838.0,40905545.0,10438886.0
Total Other Income Expense Net,-3101668.0,23876956.0,60903203.0,-650586.0
Discontinued Operations,,,,
Net Income From Continuing Ops,153698840.0,182560868.0,71826428.0,-2926833.0
Net Income Applicable To Common Shares,110610841.0,113008748.0,65525988.0,-3311526.0
