,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,119514000.0,145111000.0,143754000.0,107581000.0
Minority Interest,1578615000.0,1188147000.0,813558000.0,664627000.0
Net Income,-5981000.0,5406000.0,1771000.0,7147000.0
Selling General Administrative,40446000.0,35594000.0,31859000.0,25155000.0
Gross Profit,153669000.0,139787000.0,123621000.0,104042000.0
Ebit,98328000.0,92302000.0,80852000.0,70907000.0
Operating Income,98328000.0,92302000.0,80852000.0,70907000.0
Other Operating Expenses,14895000.0,11891000.0,10910000.0,7980000.0
Interest Expense,-31637000.0,-33653000.0,-28905000.0,-24160000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-2265000.0,271000.0,-2019000.0,4168000.0
Total Revenue,176150000.0,158928000.0,139685000.0,118759000.0
Total Operating Expenses,77822000.0,66626000.0,58833000.0,47852000.0
Cost Of Revenue,22481000.0,19141000.0,16064000.0,14717000.0
Total Other Income Expense Net,21186000.0,52809000.0,62902000.0,36674000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,121779000.0,144840000.0,145773000.0,103413000.0
Net Income Applicable To Common Shares,-5981000.0,5406000.0,1771000.0,7147000.0
