,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,62745000.0,50083000.0,29189000.0,23592000.0
Minority Interest,,,,
Net Income,43661000.0,34295000.0,20818000.0,13554000.0
Selling General Administrative,5536000.0,4756000.0,4017000.0,3378000.0
Gross Profit,82332000.0,66426000.0,54521000.0,36452000.0
Ebit,62866000.0,51204000.0,29189000.0,23592000.0
Operating Income,62866000.0,51204000.0,29189000.0,23592000.0
Other Operating Expenses,10643000.0,9707000.0,20637000.0,8862000.0
Interest Expense,-121000.0,-121000.0,-121000.0,-121000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,19084000.0,14882000.0,9572000.0,7266000.0
Total Revenue,123910000.0,98770000.0,83260000.0,61251000.0
Total Operating Expenses,61044000.0,47566000.0,54071000.0,37659000.0
Cost Of Revenue,41578000.0,32344000.0,28739000.0,24799000.0
Total Other Income Expense Net,-121000.0,-1121000.0,0.0,0.0
Discontinued Operations,,-906000.0,1201000.0,-2772000.0
Net Income From Continuing Ops,43661000.0,35201000.0,19617000.0,16326000.0
Net Income Applicable To Common Shares,43661000.0,34295000.0,20818000.0,13554000.0
