,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-18740000.0,-16073000.0,10891000.0,12827000.0
Minority Interest,,,,
Net Income,-45174000.0,-9819000.0,6639000.0,22999000.0
Selling General Administrative,25671000.0,25869000.0,37568000.0,29593000.0
Gross Profit,128711000.0,105996000.0,98047000.0,78303000.0
Ebit,33962000.0,31685000.0,27441000.0,25371000.0
Operating Income,33962000.0,31685000.0,27441000.0,25371000.0
Other Operating Expenses,,,,
Interest Expense,-57705000.0,-54897000.0,-25803000.0,-18777000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,26434000.0,-6254000.0,4252000.0,-10172000.0
Total Revenue,200778000.0,169696000.0,152560000.0,117580000.0
Total Operating Expenses,166816000.0,138011000.0,125119000.0,92209000.0
Cost Of Revenue,72067000.0,63700000.0,54513000.0,39277000.0
Total Other Income Expense Net,-52702000.0,-47758000.0,-16550000.0,-12544000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-45174000.0,-9819000.0,6639000.0,22999000.0
Net Income Applicable To Common Shares,-45174000.0,-9819000.0,6639000.0,22999000.0
