,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-365604000.0,448730000.0,507392000.0,440874000.0
Minority Interest,,,,
Net Income,-320657000.0,312420000.0,341202000.0,302092000.0
Selling General Administrative,40755000.0,38566000.0,35753000.0,35085000.0
Gross Profit,344749000.0,751038000.0,837759000.0,722695000.0
Ebit,174542000.0,645973000.0,704271000.0,638703000.0
Operating Income,174542000.0,645973000.0,704271000.0,638703000.0
Other Operating Expenses,-454000.0,-11449000.0,23164000.0,5326000.0
Interest Expense,-190900000.0,-239423000.0,-213714000.0,-202110000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-44947000.0,136310000.0,166190000.0,138782000.0
Total Revenue,1074153000.0,1584808000.0,1535761000.0,1446001000.0
Total Operating Expenses,899611000.0,938835000.0,831490000.0,807298000.0
Cost Of Revenue,729404000.0,833770000.0,698002000.0,723306000.0
Total Other Income Expense Net,-540146000.0,-197243000.0,-196879000.0,-197829000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-320657000.0,312420000.0,341202000.0,302092000.0
Net Income Applicable To Common Shares,-320657000.0,312420000.0,341202000.0,302092000.0
