,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-99262000.0,-28932000.0,-19415000.0,-25954000.0
Minority Interest,,,,
Net Income,-99262000.0,-28932000.0,-19415000.0,-25954000.0
Selling General Administrative,12837000.0,14906000.0,9889000.0,7790000.0
Gross Profit,-33763000.0,6204000.0,3975000.0,0.0
Ebit,-56438000.0,-18540000.0,-16905000.0,-28011000.0
Operating Income,-56438000.0,-18540000.0,-16905000.0,-28011000.0
Other Operating Expenses,322000.0,-570000.0,-1157000.0,-2028000.0
Interest Expense,-22610000.0,-5470000.0,-1228000.0,-102000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,0.0,0.0,0.0,0.0
Total Revenue,84147000.0,42785000.0,10188000.0,0.0
Total Operating Expenses,140585000.0,61325000.0,27093000.0,28011000.0
Cost Of Revenue,117910000.0,36581000.0,6213000.0,0.0
Total Other Income Expense Net,-42824000.0,-10392000.0,-2510000.0,2057000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-99262000.0,-28932000.0,-19415000.0,-25954000.0
Net Income Applicable To Common Shares,-99262000.0,-28932000.0,-19415000.0,-25954000.0
