,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,30020000.0,26123000.0,15301000.0,13412000.0
Minority Interest,,,,
Net Income,23076000.0,19125000.0,9965000.0,9321000.0
Selling General Administrative,17860000.0,15775000.0,12872000.0,12023000.0
Gross Profit,56466000.0,48696000.0,33652000.0,31076000.0
Ebit,30066000.0,25468000.0,14782000.0,14167000.0
Operating Income,30066000.0,25468000.0,14782000.0,14167000.0
Other Operating Expenses,857000.0,1369000.0,1060000.0,603000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,6944000.0,6998000.0,5336000.0,4091000.0
Total Revenue,56821000.0,50105000.0,33872000.0,31597000.0
Total Operating Expenses,26755000.0,24637000.0,19090000.0,17430000.0
Cost Of Revenue,355000.0,1409000.0,220000.0,521000.0
Total Other Income Expense Net,-46000.0,655000.0,519000.0,-755000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,23076000.0,19125000.0,9965000.0,9321000.0
Net Income Applicable To Common Shares,23076000.0,19125000.0,9965000.0,9321000.0
