,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-4127096.0,-3189893.0,-5974132.0,-5006014.0
Minority Interest,,,,
Net Income,-4193738.0,-3189893.0,-5974132.0,-5006014.0
Selling General Administrative,20842375.0,12414661.0,7967874.0,7100856.0
Gross Profit,18136971.0,9501250.0,2114885.0,2202907.0
Ebit,-4045430.0,-3523996.0,-6249435.0,-5144920.0
Operating Income,-4045430.0,-3523996.0,-6249435.0,-5144920.0
Other Operating Expenses,502851.0,300985.0,214556.0,214556.0
Interest Expense,-116977.0,-116977.0,-116977.0,-116977.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,66642.0,0.0,0.0,0.0
Total Revenue,22193190.0,14043822.0,6553852.0,3620126.0
Total Operating Expenses,26238620.0,17567818.0,12803287.0,8765046.0
Cost Of Revenue,4056219.0,4542572.0,4438967.0,1417219.0
Total Other Income Expense Net,-81666.0,334103.0,275303.0,138906.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-4193738.0,-3189893.0,-5974132.0,-5006014.0
Net Income Applicable To Common Shares,-4193738.0,-3189893.0,-5974132.0,-5006014.0
