,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-2708000000.0,1192000000.0,1352000000.0,1181000000.0
Minority Interest,3000000.0,3000000.0,3000000.0,3000000.0
Net Income,-1964000000.0,840000000.0,953000000.0,852000000.0
Selling General Administrative,165000000.0,230000000.0,716000000.0,632000000.0
Gross Profit,4115000000.0,5822000000.0,5658000000.0,5160000000.0
Ebit,51000000.0,1232000000.0,1523000000.0,1377000000.0
Operating Income,51000000.0,1232000000.0,1523000000.0,1377000000.0
Other Operating Expenses,1841000000.0,2364000000.0,1891000000.0,1769000000.0
Interest Expense,-271000000.0,-292000000.0,-192000000.0,-198000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-744000000.0,352000000.0,399000000.0,328000000.0
Total Revenue,14257000000.0,17966000000.0,17128000000.0,16057000000.0
Total Operating Expenses,14206000000.0,16734000000.0,15605000000.0,14680000000.0
Cost Of Revenue,10142000000.0,12144000000.0,11470000000.0,10897000000.0
Total Other Income Expense Net,-2759000000.0,-40000000.0,-171000000.0,-196000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-1964000000.0,840000000.0,953000000.0,853000000.0
Net Income Applicable To Common Shares,-1964000000.0,840000000.0,953000000.0,852000000.0
