,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,15391000000.0,11119000000.0,18167000000.0,12816000000.0
Minority Interest,4849000000.0,4710000000.0,6137000000.0,6404000000.0
Net Income,9769000000.0,8010000000.0,13638000000.0,8762000000.0
Selling General Administrative,345000000.0,343000000.0,787000000.0,555000000.0
Gross Profit,18702000000.0,16201000000.0,14194000000.0,13602000000.0
Ebit,16905000000.0,13443000000.0,12485000000.0,12252000000.0
Operating Income,16905000000.0,13443000000.0,12485000000.0,12252000000.0
Other Operating Expenses,500000000.0,452000000.0,434000000.0,350000000.0
Interest Expense,-271000000.0,-550000000.0,-481000000.0,-598000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4991000000.0,4147000000.0,4242000000.0,3965000000.0
Total Revenue,44611000000.0,43165000000.0,40522000000.0,40030000000.0
Total Operating Expenses,27706000000.0,29722000000.0,28037000000.0,27778000000.0
Cost Of Revenue,25909000000.0,26964000000.0,26328000000.0,26428000000.0
Total Other Income Expense Net,-1514000000.0,-2324000000.0,5682000000.0,564000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,10400000000.0,6972000000.0,13925000000.0,8851000000.0
Net Income Applicable To Common Shares,9769000000.0,8010000000.0,13638000000.0,8762000000.0
