,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,201946000.0,180651000.0,155149000.0,144467000.0
Effect Of Accounting Charges,,,,
Income Before Tax,733088000.0,518847000.0,521312000.0,418743000.0
Minority Interest,,,,
Net Income,621674000.0,404592000.0,315588000.0,342284000.0
Selling General Administrative,676689000.0,645010000.0,600369000.0,553968000.0
Gross Profit,1767389000.0,1536585000.0,1362164000.0,1201745000.0
Ebit,809059000.0,635986000.0,560263000.0,456732000.0
Operating Income,809059000.0,635986000.0,560263000.0,456732000.0
Other Operating Expenses,,,,
Interest Expense,-40377000.0,-36156000.0,-28355000.0,-28236000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,111414000.0,114255000.0,205724000.0,76459000.0
Total Revenue,2957013000.0,2606572000.0,2340196000.0,2066737000.0
Total Operating Expenses,2147954000.0,1970586000.0,1779933000.0,1610005000.0
Cost Of Revenue,1189624000.0,1069987000.0,978032000.0,864992000.0
Total Other Income Expense Net,-75971000.0,-117139000.0,-38951000.0,-37989000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,621674000.0,404592000.0,315588000.0,342284000.0
Net Income Applicable To Common Shares,621674000.0,404592000.0,315588000.0,342284000.0
