,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,284660000.0,233473000.0,248921000.0,196137000.0
Minority Interest,,,,
Net Income,199517000.0,163150000.0,174231000.0,138163000.0
Selling General Administrative,11359000.0,11024000.0,9699000.0,6418000.0
Gross Profit,304646000.0,252837000.0,262910000.0,207972000.0
Ebit,289453000.0,231755000.0,247556000.0,193501000.0
Operating Income,289453000.0,231755000.0,247556000.0,193501000.0
Other Operating Expenses,919000.0,1362000.0,1204000.0,1088000.0
Interest Expense,-1105000.0,-85000.0,-69000.0,-126000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,85143000.0,70323000.0,74690000.0,57974000.0
Total Revenue,756657000.0,654807000.0,606495000.0,543799000.0
Total Operating Expenses,467204000.0,423052000.0,358939000.0,350298000.0
Cost Of Revenue,452011000.0,401970000.0,343585000.0,335827000.0
Total Other Income Expense Net,-4793000.0,1718000.0,1365000.0,2636000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,199517000.0,163150000.0,174231000.0,138163000.0
Net Income Applicable To Common Shares,199517000.0,163150000.0,174231000.0,138163000.0
