,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,321500000.0,149600000.0,138300000.0,114000000.0
Minority Interest,,,,
Net Income,319600000.0,184700000.0,150500000.0,111600000.0
Selling General Administrative,12000000.0,9900000.0,9200000.0,10900000.0
Gross Profit,143900000.0,126400000.0,110500000.0,116300000.0
Ebit,131900000.0,116500000.0,101300000.0,105400000.0
Operating Income,131900000.0,116500000.0,101300000.0,105400000.0
Other Operating Expenses,,,,
Interest Expense,-25600000.0,-22700000.0,-40100000.0,-26400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,600000.0,400000.0,100000.0,2400000.0
Total Revenue,205600000.0,182500000.0,156900000.0,158400000.0
Total Operating Expenses,73700000.0,66000000.0,55600000.0,53000000.0
Cost Of Revenue,61700000.0,56100000.0,46400000.0,42100000.0
Total Other Income Expense Net,189600000.0,33100000.0,37000000.0,8600000.0
Discontinued Operations,-1300000.0,35500000.0,12300000.0,12300000.0
Net Income From Continuing Ops,320900000.0,149200000.0,138200000.0,111600000.0
Net Income Applicable To Common Shares,319600000.0,184700000.0,150500000.0,111600000.0
