,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,51200000.0,37700000.0,30800000.0,21300000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-46200000.0,284200000.0,173300000.0,437300000.0
Minority Interest,301000000.0,295200000.0,297000000.0,559200000.0
Net Income,-111700000.0,180300000.0,52200000.0,340200000.0
Selling General Administrative,262500000.0,298100000.0,281600000.0,243600000.0
Gross Profit,707000000.0,787000000.0,730400000.0,633000000.0
Ebit,268900000.0,368200000.0,352600000.0,315900000.0
Operating Income,268900000.0,368200000.0,352600000.0,315900000.0
Other Operating Expenses,-9500000.0,-2800000.0,-2200000.0,-1200000.0
Interest Expense,-77100000.0,-64400000.0,-41600000.0,-28700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,44600000.0,85800000.0,83300000.0,75300000.0
Total Revenue,1595200000.0,1557300000.0,1315200000.0,1052000000.0
Total Operating Expenses,1326300000.0,1189100000.0,962600000.0,736100000.0
Cost Of Revenue,888200000.0,770300000.0,584800000.0,419000000.0
Total Other Income Expense Net,-315100000.0,-84000000.0,-179300000.0,121400000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-90800000.0,198400000.0,90000000.0,362000000.0
Net Income Applicable To Common Shares,-111700000.0,180300000.0,52200000.0,340200000.0
