,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,699063000.0,722257000.0,616981000.0,575743000.0
Minority Interest,90645000.0,79536000.0,105518000.0,96744000.0
Net Income,527749000.0,549725000.0,475606000.0,427773000.0
Selling General Administrative,228592000.0,510471000.0,472259000.0,448928000.0
Gross Profit,2198721000.0,1982114000.0,1801192000.0,1689513000.0
Ebit,814048000.0,757935000.0,695425000.0,643879000.0
Operating Income,814048000.0,757935000.0,695425000.0,643879000.0
Other Operating Expenses,550213000.0,440564000.0,377470000.0,369133000.0
Interest Expense,-112851000.0,-86063000.0,-78444000.0,-68136000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,157160000.0,163188000.0,131916000.0,133323000.0
Total Revenue,6831843000.0,6133671000.0,5541371000.0,5122143000.0
Total Operating Expenses,6017795000.0,5375736000.0,4845946000.0,4478264000.0
Cost Of Revenue,4633122000.0,4151557000.0,3740179000.0,3432630000.0
Total Other Income Expense Net,-114985000.0,-35678000.0,-78444000.0,-68136000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,541903000.0,559069000.0,485065000.0,442420000.0
Net Income Applicable To Common Shares,527749000.0,549725000.0,475606000.0,427773000.0
