,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,181321000.0,86129000.0,8090000.0,74587000.0
Minority Interest,513626000.0,513626000.0,31829000.0,23043000.0
Net Income,133494000.0,57315000.0,6379000.0,69316000.0
Selling General Administrative,24626000.0,18115000.0,32941000.0,20307000.0
Gross Profit,408291000.0,277040000.0,175564000.0,109069000.0
Ebit,223086000.0,118595000.0,23665000.0,72798000.0
Operating Income,223086000.0,118595000.0,23665000.0,72798000.0
Other Operating Expenses,3887000.0,3743000.0,3459000.0,-923000.0
Interest Expense,-19916000.0,-23049000.0,-28202000.0,-28382000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,40853000.0,30372000.0,8121000.0,3121000.0
Total Revenue,853089000.0,606850000.0,420675000.0,448773000.0
Total Operating Expenses,630003000.0,488255000.0,397010000.0,375975000.0
Cost Of Revenue,444798000.0,329810000.0,245111000.0,339704000.0
Total Other Income Expense Net,-41765000.0,-32466000.0,-15575000.0,1789000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,140468000.0,55757000.0,-31000.0,71466000.0
Net Income Applicable To Common Shares,133494000.0,57315000.0,6379000.0,69316000.0
