,2020-06-27,2019-06-29,2018-06-30,2017-07-01
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,155800000.0,189500000.0,176100000.0,140700000.0
Minority Interest,,-400000.0,-700000.0,-1900000.0
Net Income,110200000.0,139300000.0,128300000.0,101800000.0
Selling General Administrative,1058800000.0,1011600000.0,968600000.0,907500000.0
Gross Profit,1270300000.0,1223200000.0,1156000000.0,1101700000.0
Ebit,211500000.0,211600000.0,187400000.0,194300000.0
Operating Income,211500000.0,211600000.0,187400000.0,194300000.0
Other Operating Expenses,,,,-100000.0
Interest Expense,-55100000.0,-21300000.0,-17800000.0,-17000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,45600000.0,50300000.0,48800000.0,40200000.0
Total Revenue,2825400000.0,2711400000.0,2571500000.0,2466500000.0
Total Operating Expenses,2613900000.0,2499800000.0,2384100000.0,2272200000.0
Cost Of Revenue,1555100000.0,1488200000.0,1415500000.0,1364800000.0
Total Other Income Expense Net,-55700000.0,-22100000.0,-11300000.0,-53600000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,110200000.0,139200000.0,127300000.0,100500000.0
Net Income Applicable To Common Shares,110200000.0,139300000.0,128300000.0,101800000.0
