,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,951000000.0,1530000000.0,1409000000.0,1608000000.0
Minority Interest,21000000.0,20000000.0,10000000.0,8000000.0
Net Income,913000000.0,175000000.0,1059000000.0,1075000000.0
Selling General Administrative,,,145000000.0,110000000.0
Gross Profit,4516000000.0,5387000000.0,5296000000.0,5596000000.0
Ebit,2060000000.0,3006000000.0,2841000000.0,3050000000.0
Operating Income,2060000000.0,3006000000.0,2841000000.0,3050000000.0
Other Operating Expenses,2191142000.0,2203705000.0,2128143000.0,2264589000.0
Interest Expense,-999000000.0,-1467000000.0,-1432000000.0,-1442000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,305000000.0,456000000.0,440000000.0,523000000.0
Total Revenue,14769000000.0,15560000000.0,14190000000.0,17395000000.0
Total Operating Expenses,12709000000.0,12554000000.0,11349000000.0,14345000000.0
Cost Of Revenue,10253000000.0,10173000000.0,8894000000.0,11799000000.0
Total Other Income Expense Net,-1109000000.0,-1476000000.0,-1432000000.0,-1442000000.0
Discontinued Operations,286000000.0,-879000000.0,103000000.0,103000000.0
Net Income From Continuing Ops,646000000.0,1074000000.0,969000000.0,1085000000.0
Net Income Applicable To Common Shares,913000000.0,175000000.0,1059000000.0,1075000000.0
