,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,231600000.0,309000000.0,468700000.0,43300000.0
Minority Interest,14200000.0,12300000.0,11300000.0,12000000.0
Net Income,115800000.0,201000000.0,413900000.0,44500000.0
Selling General Administrative,,,98200000.0,58200000.0
Gross Profit,771200000.0,713700000.0,778300000.0,213300000.0
Ebit,506500000.0,441800000.0,528600000.0,124600000.0
Operating Income,506500000.0,441800000.0,528600000.0,124600000.0
Other Operating Expenses,,,,
Interest Expense,-142400000.0,-156100000.0,-99300000.0,-77300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,113600000.0,106100000.0,63500000.0,26900000.0
Total Revenue,4543600000.0,4059800000.0,3454500000.0,2286400000.0
Total Operating Expenses,4037100000.0,3618000000.0,2925900000.0,2161800000.0
Cost Of Revenue,3772400000.0,3346100000.0,2676200000.0,2073100000.0
Total Other Income Expense Net,-274900000.0,-132800000.0,-59900000.0,-81300000.0
Discontinued Operations,,,10400000.0,29800000.0
Net Income From Continuing Ops,118000000.0,202900000.0,405200000.0,16400000.0
Net Income Applicable To Common Shares,115800000.0,201000000.0,390800000.0,20900000.0
