,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,389100000.0,320200000.0,286100000.0,115700000.0
Minority Interest,-6900000.0,-5700000.0,-4400000.0,-2500000.0
Net Income,349800000.0,320900000.0,283000000.0,59100000.0
Selling General Administrative,80000000.0,77000000.0,69700000.0,70600000.0
Gross Profit,1283500000.0,1164900000.0,1074700000.0,1019900000.0
Ebit,812500000.0,729300000.0,691000000.0,621800000.0
Operating Income,812500000.0,729300000.0,691000000.0,621800000.0
Other Operating Expenses,27800000.0,24600000.0,24000000.0,23600000.0
Interest Expense,-399400000.0,-422300000.0,-421000000.0,-426100000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,40500000.0,600000.0,5000000.0,58500000.0
Total Revenue,1483300000.0,1364600000.0,1228900000.0,1163500000.0
Total Operating Expenses,670800000.0,635300000.0,537900000.0,541700000.0
Cost Of Revenue,199800000.0,199700000.0,154200000.0,143600000.0
Total Other Income Expense Net,-423400000.0,-409100000.0,-404900000.0,-506100000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,348600000.0,319600000.0,281100000.0,57200000.0
Net Income Applicable To Common Shares,349800000.0,320900000.0,283000000.0,59100000.0
