,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,174000000.0,-47000000.0,-363000000.0,199000000.0
Minority Interest,1312000000.0,1423000000.0,1227000000.0,258000000.0
Net Income,239000000.0,99000000.0,-182000000.0,282000000.0
Selling General Administrative,106000000.0,91000000.0,91000000.0,60000000.0
Gross Profit,1637000000.0,1470000000.0,1302000000.0,828000000.0
Ebit,903000000.0,795000000.0,660000000.0,438000000.0
Operating Income,903000000.0,795000000.0,660000000.0,438000000.0
Other Operating Expenses,,,,
Interest Expense,-757000000.0,-717000000.0,-625000000.0,-463000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-35000000.0,-69000000.0,10000000.0,-45000000.0
Total Revenue,2732000000.0,2210000000.0,1860000000.0,1150000000.0
Total Operating Expenses,1829000000.0,1415000000.0,1200000000.0,712000000.0
Cost Of Revenue,1095000000.0,740000000.0,558000000.0,322000000.0
Total Other Income Expense Net,-729000000.0,-842000000.0,-1023000000.0,-239000000.0
Discontinued Operations,,,,8000000.0
Net Income From Continuing Ops,209000000.0,22000000.0,-373000000.0,244000000.0
Net Income Applicable To Common Shares,239000000.0,99000000.0,-182000000.0,282000000.0
