,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,96292000.0,483087000.0,19112000.0,23490000.0
Minority Interest,,,,
Net Income,66951000.0,478433000.0,12179000.0,16931000.0
Selling General Administrative,13198000.0,13116000.0,8298000.0,8161000.0
Gross Profit,105265000.0,141559000.0,155462000.0,126738000.0
Ebit,33998000.0,44987000.0,51223000.0,26667000.0
Operating Income,33998000.0,44987000.0,51223000.0,26667000.0
Other Operating Expenses,17209000.0,10917000.0,12373000.0,14804000.0
Interest Expense,-14053000.0,-34914000.0,-46961000.0,-29308000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,29341000.0,4654000.0,6933000.0,6559000.0
Total Revenue,128329000.0,170234000.0,193273000.0,157957000.0
Total Operating Expenses,94331000.0,125247000.0,142050000.0,131290000.0
Cost Of Revenue,23064000.0,28675000.0,37811000.0,31219000.0
Total Other Income Expense Net,62294000.0,438100000.0,-32111000.0,-3177000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,66951000.0,478433000.0,12179000.0,16931000.0
Net Income Applicable To Common Shares,66951000.0,478433000.0,12179000.0,16931000.0
