,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,82470000.0,76389000.0,24817000.0,58019000.0
Minority Interest,,,,
Net Income,62945000.0,58459000.0,21691000.0,44494000.0
Selling General Administrative,34886000.0,43369000.0,42946000.0,40394000.0
Gross Profit,146409000.0,132221000.0,80383000.0,104274000.0
Ebit,83214000.0,74967000.0,23710000.0,58067000.0
Operating Income,83214000.0,74967000.0,23710000.0,58067000.0
Other Operating Expenses,6366000.0,5740000.0,7030000.0,7030000.0
Interest Expense,-1495000.0,-24000.0,-395000.0,-48000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,19525000.0,17930000.0,3126000.0,13525000.0
Total Revenue,298267000.0,284994000.0,252989000.0,273253000.0
Total Operating Expenses,215053000.0,210027000.0,229279000.0,215186000.0
Cost Of Revenue,151858000.0,152773000.0,172606000.0,168979000.0
Total Other Income Expense Net,-744000.0,1422000.0,1107000.0,-48000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,62945000.0,58459000.0,21691000.0,44494000.0
Net Income Applicable To Common Shares,62945000.0,58459000.0,21691000.0,44494000.0
