,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-86000000.0,-280000000.0,-124443000.0,-177844000.0
Minority Interest,,,,
Net Income,741000000.0,-280000000.0,-124443000.0,-177844000.0
Selling General Administrative,99000000.0,83000000.0,76434000.0,82798000.0
Gross Profit,1779000000.0,1484000000.0,1449319000.0,1280656000.0
Ebit,237000000.0,166000000.0,217230000.0,165578000.0
Operating Income,237000000.0,166000000.0,217230000.0,165578000.0
Other Operating Expenses,255000000.0,214000000.0,286965000.0,235173000.0
Interest Expense,-292000000.0,-444000000.0,-361802000.0,-356723000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-820000000.0,0.0,0.0,0.0
Total Revenue,4350000000.0,3513000000.0,3610045000.0,3444630000.0
Total Operating Expenses,4113000000.0,3347000000.0,3392815000.0,3279052000.0
Cost Of Revenue,2571000000.0,2029000000.0,2160726000.0,2163974000.0
Total Other Income Expense Net,-323000000.0,-446000000.0,-341673000.0,-343422000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,734000000.0,-280000000.0,-124443000.0,-177844000.0
Net Income Applicable To Common Shares,741000000.0,-280000000.0,-124443000.0,-177844000.0
