,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-38057000.0,-20263000.0,-18297000.0,-17033000.0
Minority Interest,,,,
Net Income,-38057000.0,-18439000.0,-17146000.0,-14820000.0
Selling General Administrative,106785000.0,94862000.0,79819000.0,66834000.0
Gross Profit,93475000.0,83260000.0,67944000.0,54727000.0
Ebit,-27792000.0,-20263000.0,-18297000.0,-17033000.0
Operating Income,-27792000.0,-20263000.0,-18297000.0,-17033000.0
Other Operating Expenses,1958000.0,797000.0,-642000.0,-1058000.0
Interest Expense,-535000.0,-535000.0,-535000.0,-535000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,0.0,-1824000.0,-1151000.0,-2213000.0
Total Revenue,210675000.0,189770000.0,147107000.0,119265000.0
Total Operating Expenses,238467000.0,210033000.0,165404000.0,136298000.0
Cost Of Revenue,117200000.0,106510000.0,79163000.0,64538000.0
Total Other Income Expense Net,-10265000.0,0.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-38057000.0,-18439000.0,-17146000.0,-14820000.0
Net Income Applicable To Common Shares,-38057000.0,-18439000.0,-17146000.0,-14820000.0
