,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-7955900000.0,40100000.0,1356400000.0,2796700000.0
Minority Interest,3413000000.0,3912900000.0,3976400000.0,3777000000.0
Net Income,-7212600000.0,1103300000.0,1031100000.0,2439500000.0
Selling General Administrative,207400000.0,191500000.0,141400000.0,117300000.0
Gross Profit,-168400000.0,2030100000.0,2217500000.0,1750500000.0
Ebit,-377900000.0,1836600000.0,2074200000.0,1631000000.0
Operating Income,-377900000.0,1836600000.0,2074200000.0,1631000000.0
Other Operating Expenses,,,,-78900000.0
Interest Expense,-677600000.0,-669900000.0,-502100000.0,-347100000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-281100000.0,-1065400000.0,113600000.0,74200000.0
Total Revenue,993700000.0,3303000000.0,3343400000.0,2170000000.0
Total Operating Expenses,1371600000.0,1466400000.0,1269200000.0,539000000.0
Cost Of Revenue,1162100000.0,1272900000.0,1125900000.0,419500000.0
Total Other Income Expense Net,-7578000000.0,-1796500000.0,-717800000.0,1165700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-7674800000.0,1105500000.0,1242800000.0,2722500000.0
Net Income Applicable To Common Shares,-7212600000.0,1103300000.0,1031100000.0,2439500000.0
