,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-165194000.0,52698000.0,89830000.0,-1431109000.0
Minority Interest,,,,
Net Income,-178166000.0,34009000.0,61045000.0,-1464870000.0
Selling General Administrative,180076000.0,206652000.0,221600000.0,201391000.0
Gross Profit,554352000.0,560312000.0,587748000.0,567734000.0
Ebit,106133000.0,110303000.0,136540000.0,172778000.0
Operating Income,106133000.0,110303000.0,136540000.0,172778000.0
Other Operating Expenses,,,,
Interest Expense,-60019000.0,-56523000.0,-44341000.0,-45931000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,12972000.0,18689000.0,28785000.0,33761000.0
Total Revenue,1778180000.0,1892296000.0,1884743000.0,1820578000.0
Total Operating Expenses,1672047000.0,1781993000.0,1748203000.0,1647800000.0
Cost Of Revenue,1223828000.0,1331984000.0,1296995000.0,1252844000.0
Total Other Income Expense Net,-271327000.0,-57605000.0,-46710000.0,-1603887000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-178166000.0,34009000.0,61045000.0,-1464870000.0
Net Income Applicable To Common Shares,-178166000.0,34009000.0,61045000.0,-1464870000.0
