,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-168000000.0,-232000000.0,-164000000.0,268000000.0
Minority Interest,,,,
Net Income,-220000000.0,-253000000.0,-181000000.0,146000000.0
Selling General Administrative,903000000.0,887000000.0,635000000.0,688000000.0
Gross Profit,942000000.0,1600000000.0,966000000.0,989000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,39000000.0,713000000.0,331000000.0,301000000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-27000000.0,-53000000.0,-19000000.0,86000000.0
Total Revenue,942000000.0,1600000000.0,966000000.0,989000000.0
Total Operating Expenses,903000000.0,887000000.0,635000000.0,688000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-207000000.0,-945000000.0,-495000000.0,-33000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-141000000.0,-179000000.0,-145000000.0,182000000.0
Net Income Applicable To Common Shares,-220000000.0,-253000000.0,-174000000.0,153000000.0
