,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-5440000000.0,862000000.0,2095000000.0,1630000000.0
Minority Interest,800000000.0,792000000.0,833000000.0,830000000.0
Net Income,-4028000000.0,343000000.0,1364000000.0,1069000000.0
Selling General Administrative,190000000.0,80000000.0,103000000.0,99000000.0
Gross Profit,615000000.0,2146000000.0,2636000000.0,1892000000.0
Ebit,35000000.0,1688000000.0,2232000000.0,1539000000.0
Operating Income,35000000.0,1688000000.0,2232000000.0,1539000000.0
Other Operating Expenses,186000000.0,100000000.0,54000000.0,57000000.0
Interest Expense,-266000000.0,-263000000.0,-147000000.0,-35000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-1465000000.0,480000000.0,628000000.0,465000000.0
Total Revenue,3600000000.0,4873000000.0,5240000000.0,3975000000.0
Total Operating Expenses,3565000000.0,3185000000.0,3008000000.0,2436000000.0
Cost Of Revenue,2985000000.0,2727000000.0,2604000000.0,2083000000.0
Total Other Income Expense Net,-5475000000.0,-826000000.0,-137000000.0,91000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-3975000000.0,382000000.0,1467000000.0,1165000000.0
Net Income Applicable To Common Shares,-4028000000.0,343000000.0,1364000000.0,1069000000.0
