,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,249532000.0,178258000.0,137795000.0,116305000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-43936000.0,9837000.0,-23136000.0,-23871000.0
Minority Interest,,,,
Net Income,19774000.0,3336000.0,-27143000.0,-24914000.0
Selling General Administrative,414293000.0,401832000.0,314086000.0,235940000.0
Gross Profit,729889000.0,611649000.0,461904000.0,331310000.0
Ebit,61687000.0,34109000.0,9927000.0,-20571000.0
Operating Income,61687000.0,34109000.0,9927000.0,-20571000.0
Other Operating Expenses,4377000.0,-2550000.0,96000.0,-364000.0
Interest Expense,-33617000.0,-34313000.0,-17740000.0,-3100000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-63710000.0,6501000.0,4007000.0,1043000.0
Total Revenue,848782000.0,718231000.0,552819000.0,406659000.0
Total Operating Expenses,787095000.0,684122000.0,542892000.0,427230000.0
Cost Of Revenue,118893000.0,106582000.0,90915000.0,75349000.0
Total Other Income Expense Net,-105623000.0,-24272000.0,-33063000.0,-3300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,19774000.0,3336000.0,-27143000.0,-24914000.0
Net Income Applicable To Common Shares,19774000.0,3292000.0,-27143000.0,-24914000.0
