,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-1143000000.0,767000000.0,1172000000.0,311000000.0
Minority Interest,2000000.0,2000000.0,2000000.0,3000000.0
Net Income,-1040000000.0,719000000.0,852000000.0,229000000.0
Selling General Administrative,571000000.0,528000000.0,522000000.0,305000000.0
Gross Profit,1365000000.0,2232000000.0,2589000000.0,1168000000.0
Ebit,-189000000.0,958000000.0,1316000000.0,329000000.0
Operating Income,-189000000.0,958000000.0,1316000000.0,329000000.0
Other Operating Expenses,179000000.0,139000000.0,228000000.0,378000000.0
Interest Expense,-175000000.0,-222000000.0,-276000000.0,-224000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-103000000.0,48000000.0,320000000.0,82000000.0
Total Revenue,3473000000.0,4492000000.0,4861000000.0,2609000000.0
Total Operating Expenses,3662000000.0,3534000000.0,3545000000.0,2280000000.0
Cost Of Revenue,2108000000.0,2260000000.0,2272000000.0,1441000000.0
Total Other Income Expense Net,-954000000.0,-191000000.0,-144000000.0,-18000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-1040000000.0,719000000.0,852000000.0,229000000.0
Net Income Applicable To Common Shares,-1040000000.0,719000000.0,852000000.0,229000000.0
