,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,374230000.0,205315000.0,165956000.0,101313000.0
Minority Interest,,,,
Net Income,261839000.0,144862000.0,2640000.0,45538000.0
Selling General Administrative,5711000.0,6876000.0,5714000.0,51161000.0
Gross Profit,388554000.0,187416000.0,154515000.0,132792000.0
Ebit,380023000.0,178115000.0,156331000.0,87240000.0
Operating Income,380023000.0,178115000.0,156331000.0,87240000.0
Other Operating Expenses,2820000.0,2425000.0,-7530000.0,-5609000.0
Interest Expense,-1161000.0,-1161000.0,-2939000.0,-7195000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,112391000.0,60453000.0,163316000.0,55775000.0
Total Revenue,868912000.0,630987000.0,582544000.0,512549000.0
Total Operating Expenses,488889000.0,452872000.0,426213000.0,425309000.0
Cost Of Revenue,480358000.0,443571000.0,428029000.0,379757000.0
Total Other Income Expense Net,-5793000.0,27200000.0,9625000.0,14073000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,261839000.0,144862000.0,2640000.0,45538000.0
Net Income Applicable To Common Shares,261839000.0,144862000.0,2640000.0,45538000.0
