Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-06-27,2.3330433955681116,2.4248353631387407,2.3253940801350645,2.4018874168395996,586931,0.0,0
2016-06-28,2.3789393930759153,2.432484785842623,2.3789393930759153,2.409536838531494,977228,0.0,0
2016-06-29,2.432484412579418,2.4477830417726056,2.3942378395964488,2.4171857833862305,931445,0.0,0
2016-06-30,2.4248354700722468,2.4401341016129994,2.409536838531494,2.409536838531494,1340534,0.0,0
2016-07-01,2.4248354172543967,2.4783806264807073,2.417186101650638,2.440134048461914,859793,0.0,0
2016-07-04,2.440133996627263,2.5013285201574047,2.440133996627263,2.470731258392334,904383,0.0,0
2016-07-05,2.4783803001589804,2.4860296147555743,2.4095364687896366,2.4171857833862305,516055,0.0,0
2016-07-06,2.420371730765311,2.4321593381574873,2.3653633334363717,2.396796703338623,683096,0.084054,0
2016-07-07,2.4282298742718362,2.4439465579351376,2.3732214814502814,2.4203715324401855,797804,0.0,0
2016-07-08,2.443946758192,2.443946758192,2.396796703338623,2.396796703338623,345130,0.0,0
2016-07-11,2.4203718336596967,2.4753804206848145,2.396796805230791,2.4753804206848145,697309,0.0,0
2016-07-12,2.49895511422431,2.49895511422431,2.4518048763275146,2.4518048763275146,482855,0.0,0
2016-07-13,2.498955424870364,2.498955424870364,2.4439468383789062,2.4439468383789062,347167,0.0,0
2016-07-14,2.491097106304085,2.491097106304085,2.455734469981891,2.4753804206848145,281933,0.0,0
2016-07-15,2.475380396670169,2.475380396670169,2.4439468383789062,2.4439468383789062,238313,0.0,0
2016-07-18,2.459663801296392,2.4832388303600976,2.4518052709174807,2.467522144317627,426684,0.0,0
2016-07-19,2.4675217749436507,2.495025877721928,2.459663433098765,2.483238458633423,563794,0.0,0
2016-07-20,2.4910969076035565,2.522530276334838,2.451805009331799,2.498955249786377,640354,0.0,0
2016-07-21,2.5303885520830702,2.546105236036074,2.498955184177063,2.5068135261535645,530575,0.0,0
2016-07-22,2.5146721347329906,2.5146721347329906,2.4753804206848145,2.4753804206848145,258787,0.0,0
2016-07-25,2.4832385654207365,2.522530276334838,2.475380223237916,2.498955249786377,966900,0.0,0
2016-07-26,2.498955184177063,2.5146718681300664,2.475380158247557,2.5068135261535645,537742,0.0,0
2016-07-27,2.5146719341520174,2.522530276334838,2.475380223237916,2.498955249786377,566593,0.0,0
2016-07-28,2.4989550766389423,2.5146717599156063,2.4832383933622784,2.4910967350006104,570362,0.0,0
2016-07-29,2.4989550766389423,2.5107424954176185,2.4753800517239464,2.4910967350006104,462700,0.0,0
2016-08-01,2.475380223237916,2.510742669381779,2.475380223237916,2.498955249786377,446626,0.0,0
2016-08-02,2.506813791923355,2.5146721347329906,2.459663735065544,2.4753804206848145,682554,0.0,0
2016-08-03,2.459663433098765,2.4871675358770418,2.443946562051344,2.483238458633423,802875,0.0,0
2016-08-04,2.4832387634944495,2.49895544911372,2.459663735065544,2.4753804206848145,1078479,0.0,0
2016-08-05,2.483238500224059,2.5225302101065683,2.4675218162710553,2.5068135261535645,685510,0.0,0
2016-08-08,2.522530545466273,2.522530545466273,2.467522144317627,2.467522144317627,635785,0.0,0
2016-08-09,2.475380221842752,2.475380221842752,2.4282299814147486,2.4360883235931396,623580,0.0,0
2016-08-10,2.436088495645508,2.4518051811123045,2.4046551247119146,2.4439468383789062,473663,0.0,0
2016-08-11,2.443946562051344,2.483238458633423,2.436088220206458,2.483238458633423,464454,0.0,0
2016-08-12,2.4910971733813327,2.4910971733813327,2.43608858487501,2.467522144317627,861334,0.0,0
2016-08-15,2.4439466029838983,2.5146718681300664,2.4439466029838983,2.5068135261535645,639259,0.0,0
2016-08-16,2.5068134182772743,2.526459178694283,2.4832383933622784,2.4910967350006104,458575,0.0,0
2016-08-17,2.4910967350006104,2.5146717599156063,2.4793091288642906,2.4910967350006104,527749,0.0,0
2016-08-18,2.5146719341520174,2.52645935374742,2.4832385654207365,2.498955249786377,1041209,0.0,0
2016-08-19,2.5146718260129672,2.5303885097027394,2.4675217749436507,2.483238458633423,424216,0.0,0
2016-08-22,2.4832387634944495,2.49895544911372,2.436088519278967,2.4753804206848145,759293,0.0,0
2016-08-23,2.475380221842752,2.475380221842752,2.4282299814147486,2.4360883235931396,851268,0.0,0
2016-08-24,2.4360883745609065,2.4360883745609065,2.357504951132875,2.3732216358184814,1644986,0.0,0
2016-08-25,2.3732215047353495,2.412513214279117,2.365363162826596,2.3889381885528564,1741637,0.0,0
2016-08-26,2.38893836086306,2.4125133882897485,2.381080018387497,2.396796703338623,895261,0.0,0
2016-08-29,2.3889384935161693,2.4203718651638546,2.369292729915203,2.381080150604248,1597761,0.0,0
2016-08-30,2.3889384935161693,2.4125135222519334,2.381080150604248,2.381080150604248,972225,0.0,0
2016-08-31,2.3810799781612846,2.396796662846891,2.3496466087900716,2.3732216358184814,1664763,0.0,0
2016-09-01,2.3732216358184814,2.3889383205040877,2.3653632934756783,2.3732216358184814,1763478,0.0,0
2016-09-02,2.36536303489482,2.3810797178622827,2.3103546445087004,2.3182129859924316,1394519,0.0,0
2016-09-05,2.318213093449402,2.341788118993378,2.318213093449402,2.3339297771453857,868949,0.0,0
2016-09-06,2.3260717959535078,2.357505168219202,2.255346520998018,2.263205051422119,2076274,0.0,0
2016-09-07,2.278921604156494,2.349646687614358,2.267133996568017,2.278921604156494,2130713,0.0,0
2016-09-08,2.278921604156494,2.2946382893693524,2.2474880463731104,2.278921604156494,2848525,0.0,0
2016-09-09,2.2632050284201086,2.2710633714066644,2.231771469116211,2.231771469116211,1117273,0.0,0
2016-09-12,2.208196335349679,2.2317713631904126,2.192479650122524,2.216054677963257,1969227,0.0,0
2016-09-13,2.223913020576835,2.247488048417568,2.216054677963257,2.216054677963257,1772620,0.0,0
2016-09-14,2.208196535513502,2.208196535513502,2.1767631622098866,2.1924798488616943,1707220,0.0,0
2016-09-15,2.200338363647461,2.2160550515239805,2.1924800197092007,2.200338363647461,1974751,0.0,0
2016-09-16,2.2396297058039902,2.2396297058039902,2.2003379927361015,2.216054677963257,1656244,0.0,0
2016-09-19,2.216054849527064,2.2239131927490234,2.200338163083145,2.2239131927490234,90606,0.0,0
2016-09-20,2.2081967075857207,2.2081967075857207,2.176763331832681,2.200338363647461,1769084,0.0,0
2016-09-21,2.2003380971699884,2.2396298121027662,2.2003380971699884,2.231771469116211,1247425,0.0,0
2016-09-22,2.2474882224149018,2.263205096216502,2.216054849527064,2.2239131927490234,1151966,0.0,0
2016-09-23,2.2317715735605312,2.2553466036234817,2.223913230206214,2.247488260269165,1181626,0.0,0
2016-09-26,2.2396297690891123,2.2710633277893066,2.2396297690891123,2.2710633277893066,580020,0.0,0
2016-09-27,2.263205051422119,2.263205051422119,2.2317714917987472,2.263205051422119,1011644,0.0,0
2016-09-28,2.2710634102358562,2.2749924881174732,2.24748819351544,2.2553465366363525,1351016,0.0,0
2016-09-29,2.2789218210441167,2.2789218210441167,2.239629916914848,2.247488260269165,755535,0.0,0
2016-09-30,2.247488111924743,2.2789216706249373,2.2003380549109592,2.2710633277893066,832039,0.0,0
2016-10-03,2.2789217375549664,2.28678008062139,2.255346520998018,2.263205051422119,411695,0.0,0
