Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-06-27,2.1944112657453214,2.1944112657453214,2.1853058338165283,2.1853058338165283,2043,0.0,0
2016-06-28,2.1670949579835845,2.1762003898620605,2.139778445257535,2.1762003898620605,32650,0.0,0
2016-06-29,2.203516757066223,2.230833053588867,2.1944113248920085,2.230833053588867,15040,0.0,0
2016-06-30,2.2490439646798275,2.2672548294067383,2.185305938135639,2.2672548294067383,3858,0.0,0
2016-07-01,2.276360307584472,2.3036766052246094,2.276360307584472,2.3036766052246094,7967,0.0,0
2016-07-04,2.312781810760498,2.312781810760498,2.312781810760498,2.312781810760498,3388,0.0,0
2016-07-05,2.2672548294067383,2.2672548294067383,2.2672548294067383,2.2672548294067383,38,0.0,0
2016-07-06,2.312781991224016,2.312781991224016,2.2672548294067383,2.2672548294067383,21290,0.0,0
2016-07-07,2.2672548294067383,2.2672548294067383,2.2672548294067383,2.2672548294067383,0,0.0,0
2016-07-08,2.2672548294067383,2.2672548294067383,2.2672548294067383,2.2672548294067383,0,0.0,0
2016-07-11,2.3400981426239014,2.3400981426239014,2.3400981426239014,2.3400981426239014,1232,0.0,0
2016-07-12,2.3400981426239014,2.3400981426239014,2.3400981426239014,2.3400981426239014,6465,0.0,0
2016-07-13,2.3400981426239014,2.3400981426239014,2.3400981426239014,2.3400981426239014,1117,0.0,0
2016-07-14,2.3765194137944423,2.3765194137944423,2.3583085536956787,2.3583085536956787,1869,0.0,0
2016-07-15,2.303676341908975,2.303676341908975,2.2763600473911545,2.2854654788970947,12235,0.0,0
2016-07-18,2.2854659237050954,2.2854659237050954,2.2581496238708496,2.2581496238708496,324869,0.0,0
2016-07-19,2.321887016296387,2.321887016296387,2.321887016296387,2.3218870162963867,7141,0.0,0
2016-07-20,2.3674144380136024,2.3674144380136024,2.3400981426239014,2.3400981426239014,16244,0.0,0
2016-07-21,2.3400981426239014,2.3400981426239014,2.3400981426239014,2.3400981426239014,555,0.0,0
2016-07-22,2.294570543350005,2.3765194137944423,2.294570543350005,2.3583085536956787,1886,0.0,0
2016-07-25,2.358309099058548,2.4129419090793434,2.358309099058548,2.394731044769287,24319,0.0,0
2016-07-26,2.376519751791482,2.4129416942596436,2.376519751791482,2.4129416942596436,20088,0.0,0
2016-07-27,2.394731044769287,2.4038364769243152,2.394731044769287,2.394731044769287,7563,0.0,0
2016-07-28,2.3947308315708664,2.4129416942596436,2.3947308315708664,2.4129416942596436,96857,0.0,0
2016-07-29,2.394731044769287,2.394731044769287,2.394731044769287,2.394731044769287,1224,0.0,0
2016-08-01,2.4311525698609215,2.59505033493042,2.4311525698609215,2.59505033493042,16811,0.0,0
2016-08-02,2.6314724450257736,2.722526764746822,2.4857853163814734,2.7043159008026123,3701,0.0,0
2016-08-03,2.5495231908735767,2.5495231908735767,2.3765197764448938,2.431152582168579,44566,0.0,0
2016-08-04,2.3856253623962402,2.3856253623962402,2.3856253623962402,2.3856253623962402,5000,0.0,0
2016-08-05,2.4220471382141113,2.4220471382141113,2.4220471382141113,2.4220471382141113,10207,0.0,0
2016-08-08,2.476679897417237,2.5495233535766597,2.4584690333773813,2.54952335357666,18042,0.0,0
2016-08-09,2.4948907497364337,2.5404179096221924,2.4766798857821297,2.5404179096221924,187674,0.0,0
2016-08-10,2.4948909282684326,2.5495235240407994,2.4948909282684326,2.4948909282684326,16442,0.0,0
2016-08-11,2.5131017935258884,2.5495235240407994,2.4584691977535216,2.4948909282684326,14883,0.0,0
