,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,910000000.0,910000000.0,907000000.0,907000000.0
Total Liab,9923000000.0,9923000000.0,6635000000.0,6635000000.0
Total Stockholder Equity,5493000000.0,5493000000.0,8075000000.0,8075000000.0
Other Current Liab,755000000.0,755000000.0,996000000.0,996000000.0
Total Assets,15416000000.0,15416000000.0,14710000000.0,14710000000.0
Common Stock,5601000000.0,5601000000.0,5603000000.0,5603000000.0
Other Current Assets,1104000000.0,1104000000.0,856000000.0,856000000.0
Retained Earnings,-57000000.0,-57000000.0,2552000000.0,2552000000.0
Other Liab,4353000000.0,4353000000.0,1135000000.0,1135000000.0
Good Will,2375000000.0,2375000000.0,2879000000.0,2879000000.0
Treasury Stock,-51000000.0,-51000000.0,-80000000.0,-80000000.0
Other Assets,1172000000.0,1172000000.0,905000000.0,905000000.0
Cash,101000000.0,101000000.0,141000000.0,141000000.0
Total Current Liabilities,3143000000.0,3143000000.0,2388000000.0,2388000000.0
Deferred Long Term Asset Charges,1098000000.0,1098000000.0,252000000.0,252000000.0
Short Long Term Debt,609000000.0,609000000.0,49000000.0,49000000.0
Other Stockholder Equity,-51000000.0,-51000000.0,-80000000.0,-80000000.0
Property Plant Equipment,6666000000.0,6666000000.0,6640000000.0,6640000000.0
Total Current Assets,3378000000.0,3378000000.0,3122000000.0,3122000000.0
Long Term Investments,915000000.0,915000000.0,257000000.0,257000000.0
Net Tangible Assets,2208000000.0,2208000000.0,4289000000.0,4289000000.0
Net Receivables,1741000000.0,1741000000.0,1670000000.0,1670000000.0
Long Term Debt,2280000000.0,2280000000.0,2956000000.0,2956000000.0
Inventory,432000000.0,432000000.0,400000000.0,400000000.0
Accounts Payable,1554000000.0,1554000000.0,708000000.0,708000000.0
