,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,72400000.0,72400000.0,1083200000.0,1083200000.0
Total Liab,1397100000.0,1397100000.0,1380600000.0,1380600000.0
Total Stockholder Equity,1069000000.0,1069000000.0,1041800000.0,1041800000.0
Minority Interest,10800000.0,10800000.0,11000000.0,11000000.0
Other Current Liab,208300000.0,208300000.0,12200000.0,12200000.0
Total Assets,2476900000.0,2476900000.0,2433400000.0,2433400000.0
Common Stock,1304600000.0,1304600000.0,1304600000.0,1304600000.0
Other Current Assets,5000000.0,5000000.0,39300000.0,39300000.0
Retained Earnings,-104500000.0,-104500000.0,-164200000.0,-164200000.0
Other Liab,93500000.0,93500000.0,56300000.0,56300000.0
Good Will,1064100000.0,1064100000.0,,
Treasury Stock,-131100000.0,-131100000.0,-98600000.0,-98600000.0
Other Assets,63000000.0,63000000.0,80700000.0,80700000.0
Cash,168600000.0,168600000.0,146700000.0,146700000.0
Total Current Liabilities,378100000.0,378100000.0,553900000.0,553900000.0
Deferred Long Term Asset Charges,30800000.0,30800000.0,33700000.0,33700000.0
Short Long Term Debt,5000000.0,5000000.0,212800000.0,212800000.0
Other Stockholder Equity,-131100000.0,-131100000.0,-98600000.0,-98600000.0
Property Plant Equipment,641100000.0,641100000.0,656900000.0,656900000.0
Total Current Assets,611100000.0,611100000.0,592100000.0,592100000.0
Long Term Investments,25200000.0,25200000.0,20500000.0,20500000.0
Net Tangible Assets,-67500000.0,-67500000.0,-41400000.0,-41400000.0
Net Receivables,338100000.0,338100000.0,338300000.0,338300000.0
Long Term Debt,777200000.0,777200000.0,608600000.0,608600000.0
Inventory,64400000.0,64400000.0,67800000.0,67800000.0
Accounts Payable,65900000.0,65900000.0,232500000.0,232500000.0
